utc,total_pct,java_cores,other1,other1_cores,other2,other2_cores,other3,other3_cores
02:46:59,36.5,0,dwm#1,8.15,System,0.36,MsMpEng,0.36
02:47:09,39.9,2,dwm#1,8.16,WmiPrvSE#1,0.31,System,0.26
02:47:20,50.7,3.58,dwm#1,7.98,vmmemWSL,1.67,L-Connect-Service,0.31
02:47:31,74.4,14.2,dwm#1,8.03,L-Connect-Service,0.43,WmiPrvSE#1,0.26
02:47:41,71.4,13.58,dwm#1,7.85,WmiPrvSE#1,0.22,System,0.17
02:47:52,31.7,0.18,dwm#1,7.95,nvcontainer#3,0.99,WmiPrvSE#1,0.22
02:48:03,36.6,0.51,dwm#1,8.26,nvcontainer#3,0.98,L-Connect-Service,0.32
02:48:13,30.4,0.55,dwm#1,8.08,Docker Desktop#4,0.41,WmiPrvSE#1,0.22
02:48:24,35.2,0.35,dwm#1,7.91,nvcontainer#3,0.98,L-Connect-Service,0.49
02:48:34,32.6,0.6,dwm#1,7.75,vmmemWSL,0.32,WmiPrvSE#1,0.23
02:48:45,33.4,0.42,dwm#1,7.78,svchost#76,0.56,L-Connect-Service,0.32
02:48:56,36,0.37,dwm#1,8.03,L-Connect-Service,0.37,System,0.32
02:49:06,31.2,0.65,dwm#1,8.28,steamwebhelper#5,0.32,WmiPrvSE#1,0.28
02:49:17,38.8,0.36,dwm#1,8.08,L-Connect-Service,0.55,WmiPrvSE#1,0.27
02:49:27,34.8,0.54,dwm#1,7.94,claude,0.45,WmiPrvSE#1,0.27
02:49:38,33.3,0.37,dwm#1,7.91,L-Connect-Service,0.42,WmiPrvSE#1,0.32
02:49:48,31.1,0,dwm#1,8.01,bash#18,0.37,MsMpEng,0.23
02:49:59,34.1,1.89,dwm#1,7.94,WmiPrvSE#1,0.27,L-Connect-Service,0.09
02:50:10,86.4,17.55,dwm#1,6.28,L-Connect-Service,0.49,EpicGamesLauncher,0.36
02:50:20,72.2,11.85,dwm#1,8.02,vmmemWSL,0.39,WmiPrvSE#1,0.3
02:50:31,61.2,11.53,dwm#1,7.69,WmiPrvSE#1,0.26,L-Connect-Service,0.26
02:50:42,39.5,0.28,dwm#1,8.22,vmmemWSL,1.69,L-Connect-Service,0.47
02:50:52,32.8,0.44,dwm#1,8.15,vmmemWSL,0.35,WmiPrvSE#1,0.26
02:51:03,39.5,0.32,dwm#1,8.2,vmmemWSL,1.39,L-Connect-Service,0.46
02:51:14,39.1,0.49,dwm#1,8.12,Docker Desktop#4,1.89,steamwebhelper#2,0.45
02:51:24,25.7,0.18,dwm#1,8.06,WmiPrvSE#1,0.27,L-Connect-Service,0.23
02:51:35,34.2,0.66,dwm#1,8.14,L-Connect-Service,0.52,vmmemWSL,0.37
02:51:45,31,0.46,dwm#1,7.96,WmiPrvSE#1,0.23,L-Connect-Service,0.09
02:51:56,28.4,0.42,dwm#1,8.21,L-Connect-Service,0.51,WmiPrvSE#1,0.28
02:52:06,29.3,0.56,dwm#1,7.95,WmiPrvSE#1,0.28,System,0.14
02:52:17,31.1,0.41,dwm#1,7.98,L-Connect-Service,0.41,WmiPrvSE#1,0.27
02:52:28,26.9,0.32,dwm#1,8.08,WmiPrvSE#1,0.23,sunshine,0.13
02:52:38,33.4,0,dwm#1,8.22,System,0.97,SearchIndexer,0.32
02:52:49,55,5.4,dwm#1,7.87,claude#2,0.47,L-Connect-Service,0.47
02:52:59,82.8,18.02,dwm#1,6.66,claude#2,0.54,steamwebhelper#5,0.27
02:53:10,83.2,10.7,dwm#1,7.44,vmmemWSL,2,claude,0.39
02:53:21,77.2,13.26,dwm#1,6.86,L-Connect-Service,0.68,WmiPrvSE#1,0.22
02:53:31,28.4,0.22,dwm#1,8.05,WmiPrvSE#1,0.22,claude#2,0.18
02:53:42,50.5,0.32,dwm#1,7.87,vmmemWSL,3.36,L-Connect-Service,0.36
02:53:53,27.2,0.37,dwm#1,8.15,WmiPrvSE#1,0.23,WmiPrvSE,0.13
