utc,total_pct,java_cores,other1,other1_cores,other2,other2_cores,other3,other3_cores
03:20:47,39,0,dwm#1,8.08,claude#2,0.5,MsMpEng,0.36
03:20:58,32.5,0.99,dwm#1,8.16,WmiPrvSE#1,0.22,vmmemWSL,0.22
03:21:09,45.6,1.87,dwm#1,8.01,L-Connect-Service,0.5,EpicGamesLauncher,0.45
03:21:19,100,25.76,dwm#1,3.94,MsMpEng,0.49,SearchIndexer,0.31
03:21:30,29.1,0.27,dwm#1,8.02,WmiPrvSE#1,0.23,pwsh#1,0.04
03:21:41,33,0.04,dwm#1,7.94,vmmemWSL,0.63,L-Connect-Service,0.49
03:21:51,27.5,0.28,dwm#1,7.98,WmiPrvSE#1,0.23,vmmemWSL,0.04
03:22:02,28.1,0.04,dwm#1,7.98,L-Connect-Service,0.4,WmiPrvSE#1,0.22
03:22:12,27.1,0.23,dwm#1,7.89,vmmemWSL,0.42,L-Connect-Service,0.37
03:22:23,29.1,0.09,dwm#1,8.03,WmiPrvSE#1,0.23,vmmemWSL,0.13
03:22:34,39.4,0.4,dwm#1,7.99,vmmemWSL,1.98,L-Connect-Service,0.49
03:22:44,28.5,0.28,dwm#1,7.91,claude,0.28,WmiPrvSE#1,0.23
03:22:55,32,0.13,dwm#1,8.08,L-Connect-Service,0.64,Docker Desktop#4,0.27
03:23:05,33.1,0.5,dwm#1,8.01,Docker Desktop#4,1.13,WmiPrvSE#1,0.27
03:23:16,31,0.27,dwm#1,7.93,steamwebhelper#5,0.27,WmiPrvSE#1,0.22
03:23:26,32.3,0.23,dwm#1,8.09,L-Connect-Service,0.27,WmiPrvSE#1,0.23
03:23:37,32.9,0.27,dwm#1,8.11,WmiPrvSE#1,0.27,claude#3,0.22
03:23:48,36,0.72,dwm#1,7.98,L-Connect-Service,0.59,WmiPrvSE#1,0.36
03:23:58,29.1,0.82,dwm#1,8.05,WmiPrvSE#1,0.22,System,0.09
