utc,total_pct,java_cores,other1,other1_cores,other2,other2_cores,other3,other3_cores
12:34:00,36,0.04,dwm#1,8.03,MsMpEng,0.4,WmiPrvSE#1,0.36
12:34:11,32.4,1.12,dwm#1,8.09,WmiPrvSE#1,0.36,L-Connect-Service,0.12
12:34:22,62.1,4.25,dwm#1,8.1,slack#4,1.65,System,1.2
12:34:33,70.4,9.65,dwm#1,7.54,vmmemWSL,1.02,L-Connect-Service,0.61
12:34:44,30.6,0.28,dwm#1,8.28,WmiPrvSE#1,0.36,L-Connect-Service,0.2
12:34:54,42.5,0.4,dwm#1,7.9,Docker Desktop#4,0.84,vmmemWSL,0.76
12:35:05,31,0.15,dwm#1,8.12,WmiPrvSE#1,0.31,svchost#76,0.23
12:35:16,34.2,0.19,dwm#1,8.01,L-Connect-Service,0.62,WmiPrvSE#1,0.38
12:35:27,31.8,0.4,dwm#1,8.05,WmiPrvSE#1,0.32,vmmemWSL,0.2
12:35:37,34.2,0.31,dwm#1,8.08,WmiPrvSE#1,0.39,WmiPrvSE,0.19
12:35:48,35.3,0.9,dwm#1,8.2,L-Connect-Service,0.43,WmiPrvSE#1,0.35
12:35:59,28.7,0.39,dwm#1,8.19,L-Connect-Service,0.39,WmiPrvSE#1,0.35
12:36:09,30,0.27,dwm#1,7.95,WmiPrvSE#1,0.35,WmiPrvSE,0.11
12:36:20,29.6,0.16,dwm#1,8.03,WmiPrvSE#1,0.36,claude,0.32
12:36:31,30.9,0.36,dwm#1,8.15,L-Connect-Service,0.6,WmiPrvSE#1,0.36
12:36:41,29.8,0.55,dwm#1,8.2,WmiPrvSE#1,0.35,vmmemWSL,0.11
12:36:52,35.6,0.32,dwm#1,7.89,vmmemWSL,1.52,WmiPrvSE#1,0.32
12:37:03,39.2,0.78,dwm#1,8.04,vmmemWSL,0.85,L-Connect-Service,0.5
12:37:14,36.3,0.87,dwm#1,8.12,WmiPrvSE#1,0.39,L-Connect-Service,0.31
12:37:24,45.1,1.04,dwm#1,7.81,vmmemWSL,2.76,Docker Desktop#4,0.44
12:37:35,35.5,0.68,dwm#1,8.01,Docker Desktop#4,0.4,vmmemWSL,0.36
12:37:46,33,1.06,dwm#1,8.2,L-Connect-Service,0.58,svchost#76,0.43
12:37:57,30.4,1.16,dwm#1,8.05,WmiPrvSE#1,0.34,WmiPrvSE,0.11
12:38:07,34.8,1.09,dwm#1,8.08,WmiPrvSE#1,0.32,vmmemWSL,0.24
12:38:18,34.8,1.07,dwm#1,8.33,L-Connect-Service,0.55,WmiPrvSE#1,0.35
12:38:29,31.7,1.08,dwm#1,8,L-Connect-Service,0.32,WmiPrvSE#1,0.32
12:38:39,46.6,4.3,dwm#1,7.89,WmiPrvSE#1,0.35,claude,0.31
12:38:50,30.2,0.98,dwm#1,8.05,WmiPrvSE#1,0.35,claude,0.31
12:39:01,34.1,1.04,dwm#1,8.04,L-Connect-Service,0.52,WmiPrvSE#1,0.36
