mod_id,mod_version,jar,class_name,method,method_desc,pc,opcode,kind,callee_owner,callee_name,callee_desc,target_kind,entity_target,requests_search,inside_navigation,tick_driven,tick_evidence,cadence,tick_reason,method_checks_nav_state,throttle_hint,in_iterator_loop,mixin_targets
animal_feeding_trough,1.2.1+26.1.2,mods/animal_feeding_trough-1.2.1+26.1.2.jar,slexom/animal_feeding_trough/platform/common/world/entity/ai/behavior/SelfFeed,tick,(Lnet/minecraft/server/level/ServerLevel;Lnet/minecraft/world/entity/animal/Animal;J)V,153,invokespecial,walk_target,net/minecraft/world/entity/ai/memory/WalkTarget,<init>,(Lnet/minecraft/world/entity/ai/behavior/PositionTracker;FI)V,tracker,False,True,False,True,direct,every_tick,Behavior.tick,False,False,False,
animalgarden_alligatorgar,1.0.0,mods/animalgarden_alligatorgar-1.0.0-fabric-26.1.1-0.145.4.jar,aquariusplayz/animalgarden/alligatorgar/mob/ModMob,aiStep,()V,509,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,moveTo,(DDDD)Z,coords,False,True,False,True,direct,every_tick,Entity.aiStep,True,True,False,
animalgarden_alligatorgar,1.0.0,mods/animalgarden_alligatorgar-1.0.0-fabric-26.1.1-0.145.4.jar,aquariusplayz/animalgarden/alligatorgar/mob/goals/ModMeleeAttackGoal,canUse,()Z,113,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,createPath,(Lnet/minecraft/world/entity/Entity;I)Lnet/minecraft/world/level/pathfinder/Path;,entity,True,True,False,True,direct,every_tick,Goal.canUse,False,False,False,
animalgarden_alligatorgar,1.0.0,mods/animalgarden_alligatorgar-1.0.0-fabric-26.1.1-0.145.4.jar,aquariusplayz/animalgarden/alligatorgar/mob/goals/ModMeleeAttackGoal,canUse,()Z,164,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,createPath,(Lnet/minecraft/world/entity/Entity;I)Lnet/minecraft/world/level/pathfinder/Path;,entity,True,True,False,True,direct,every_tick,Goal.canUse,False,False,False,
animalgarden_alligatorgar,1.0.0,mods/animalgarden_alligatorgar-1.0.0-fabric-26.1.1-0.145.4.jar,aquariusplayz/animalgarden/alligatorgar/mob/goals/ModMeleeAttackGoal,start,()V,15,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,moveTo,(Lnet/minecraft/world/level/pathfinder/Path;D)Z,path,False,False,False,True,direct,on_start,Goal.start,False,False,False,
animalgarden_alligatorgar,1.0.0,mods/animalgarden_alligatorgar-1.0.0-fabric-26.1.1-0.145.4.jar,aquariusplayz/animalgarden/alligatorgar/mob/goals/ModMeleeAttackGoal,tick,()V,353,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,moveTo,(Lnet/minecraft/world/entity/Entity;D)Z,entity,True,True,False,True,direct,every_tick,Goal.tick,True,True,False,
animalgarden_bullshark,1.1.1,mods/animalgarden_bullshark-1.1.1-fabric-26.1.1-0.145.4.jar,aquariusplayz/animalgarden/bullshark/mob/goals/HuntGoal,navigateTowards,(Lnet/minecraft/world/entity/Entity;)V,23,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,moveTo,(DDDD)Z,coords,False,True,False,True,same_class,every_tick,via tick <- Goal.tick,False,False,False,
animalgarden_bullshark,1.1.1,mods/animalgarden_bullshark-1.1.1-fabric-26.1.1-0.145.4.jar,aquariusplayz/animalgarden/bullshark/mob/goals/HuntGoal,tick,()V,179,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,moveTo,(DDDD)Z,coords,False,True,False,True,direct,every_tick,Goal.tick,False,False,False,
animalgarden_commonraven,1.0.1,mods/animalgarden-commonraven-1.0.1-fabric-26.2-0.152.2.jar,aquariusplayz/animalgarden/commonraven/mob/ModMob,lambda$runBehaviorsOnServer$1,(Lnet/minecraft/world/entity/item/ItemEntity;)V,33,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,createPath,(Lnet/minecraft/world/entity/Entity;I)Lnet/minecraft/world/level/pathfinder/Path;,entity,True,True,False,True,cross_class,every_tick,lambda created in ModMob#runBehaviorsOnServer <- via DefaultTamableAnimal#aiStep <- Entity.aiStep,False,False,False,
animalgarden_commonraven,1.0.1,mods/animalgarden-commonraven-1.0.1-fabric-26.2-0.152.2.jar,aquariusplayz/animalgarden/commonraven/mob/ModMob,lambda$runBehaviorsOnServer$1,(Lnet/minecraft/world/entity/item/ItemEntity;)V,74,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,createPath,(Lnet/minecraft/world/entity/Entity;I)Lnet/minecraft/world/level/pathfinder/Path;,entity,True,True,False,True,cross_class,every_tick,lambda created in ModMob#runBehaviorsOnServer <- via DefaultTamableAnimal#aiStep <- Entity.aiStep,False,False,False,
animalgarden_commonraven,1.0.1,mods/animalgarden-commonraven-1.0.1-fabric-26.2-0.152.2.jar,aquariusplayz/animalgarden/commonraven/mob/ModMob,runBehaviorsOnServer,(Lnet/minecraft/server/level/ServerLevel;)V,309,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,moveTo,(Lnet/minecraft/world/level/pathfinder/Path;D)Z,path,False,False,False,True,cross_class,every_tick,via DefaultTamableAnimal#aiStep <- Entity.aiStep,True,True,False,
animalgarden_commonraven,1.0.1,mods/animalgarden-commonraven-1.0.1-fabric-26.2-0.152.2.jar,aquariusplayz/animalgarden/commonraven/mob/ModMob,runBehaviorsOnServer,(Lnet/minecraft/server/level/ServerLevel;)V,325,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,createPath,(Lnet/minecraft/world/entity/Entity;I)Lnet/minecraft/world/level/pathfinder/Path;,entity,True,True,False,True,cross_class,every_tick,via DefaultTamableAnimal#aiStep <- Entity.aiStep,True,True,False,
animalgarden_commonraven,1.0.1,mods/animalgarden-commonraven-1.0.1-fabric-26.2-0.152.2.jar,aquariusplayz/animalgarden/commonraven/mob/ModMob,runBehaviorsOnServer,(Lnet/minecraft/server/level/ServerLevel;)V,868,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,createPath,(DDDI)Lnet/minecraft/world/level/pathfinder/Path;,coords,False,True,False,True,cross_class,every_tick,via DefaultTamableAnimal#aiStep <- Entity.aiStep,True,True,False,
animalgarden_commonraven,1.0.1,mods/animalgarden-commonraven-1.0.1-fabric-26.2-0.152.2.jar,aquariusplayz/animalgarden/commonraven/mob/ModMob,runBehaviorsOnServer,(Lnet/minecraft/server/level/ServerLevel;)V,975,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,moveTo,(Lnet/minecraft/world/level/pathfinder/Path;D)Z,path,False,False,False,True,cross_class,every_tick,via DefaultTamableAnimal#aiStep <- Entity.aiStep,True,True,False,
animalgarden_commonraven,1.0.1,mods/animalgarden-commonraven-1.0.1-fabric-26.2-0.152.2.jar,aquariusplayz/animalgarden/commonraven/mob/ModMob,runBehaviorsOnServer,(Lnet/minecraft/server/level/ServerLevel;)V,1017,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,createPath,(DDDI)Lnet/minecraft/world/level/pathfinder/Path;,coords,False,True,False,True,cross_class,every_tick,via DefaultTamableAnimal#aiStep <- Entity.aiStep,True,True,False,
animalgarden_commonraven,1.0.1,mods/animalgarden-commonraven-1.0.1-fabric-26.2-0.152.2.jar,aquariusplayz/animalgarden/commonraven/mob/newgoals/DefaultWaterAvoidingRandomGroundAndFlyingStrollGoal,start,()V,23,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,moveTo,(DDDD)Z,coords,False,True,False,True,direct,on_start,Goal.start,False,False,False,
animalgarden_commonraven,1.0.1,mods/animalgarden-commonraven-1.0.1-fabric-26.2-0.152.2.jar,aquariusplayz/animalgarden/commonraven/mob/newgoals/ModDropItemOffNearPlayerGoal,canUse,()Z,142,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,createPath,(Lnet/minecraft/world/entity/Entity;I)Lnet/minecraft/world/level/pathfinder/Path;,entity,True,True,False,True,direct,every_tick,Goal.canUse,False,False,False,
animalgarden_commonraven,1.0.1,mods/animalgarden-commonraven-1.0.1-fabric-26.2-0.152.2.jar,aquariusplayz/animalgarden/commonraven/mob/newgoals/ModDropItemOffNearPlayerGoal,canUse,()Z,193,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,createPath,(Lnet/minecraft/world/entity/Entity;I)Lnet/minecraft/world/level/pathfinder/Path;,entity,True,True,False,True,direct,every_tick,Goal.canUse,False,False,False,
animalgarden_commonraven,1.0.1,mods/animalgarden-commonraven-1.0.1-fabric-26.2-0.152.2.jar,aquariusplayz/animalgarden/commonraven/mob/newgoals/ModDropItemOffNearPlayerGoal,start,()V,19,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,moveTo,(Lnet/minecraft/world/level/pathfinder/Path;D)Z,path,False,False,False,True,direct,on_start,Goal.start,False,False,False,
animalgarden_commonraven,1.0.1,mods/animalgarden-commonraven-1.0.1-fabric-26.2-0.152.2.jar,aquariusplayz/animalgarden/commonraven/mob/newgoals/ModDropItemOffNearPlayerGoal,tick,()V,353,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,moveTo,(Lnet/minecraft/world/entity/Entity;D)Z,entity,True,True,False,True,direct,every_tick,Goal.tick,True,True,False,
animalgarden_crocodile,1.1.0,mods/animalgarden_crocodile-1.1.0-fabric-26.1.2-0.145.4.jar,aquariusplayz/animalgarden/crocodile/mob/ModMob,runBehaviorsOnServer,(Lnet/minecraft/server/level/ServerLevel;)V,793,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,moveTo,(DDDD)Z,coords,False,True,False,True,cross_class,every_tick,via DefaultTamableAnimal#aiStep <- Entity.aiStep,True,True,False,
animalgarden_crocodile,1.1.0,mods/animalgarden_crocodile-1.1.0-fabric-26.1.2-0.145.4.jar,aquariusplayz/animalgarden/crocodile/mob/goals/ModRandomSwimmingOrWalkingGoal,start,()V,27,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,moveTo,(DDDD)Z,coords,False,True,False,True,direct,on_start,Goal.start,False,False,False,
animalgarden_fennecfox,1.0.2,mods/animalgarden_fennecfox-1.0.2-fabric-26.2-0.152.2.jar,aquariusplayz/animalgarden/fennecfox/mob/ModMob,aiStep,()V,585,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,moveTo,(DDDD)Z,coords,False,True,False,True,direct,every_tick,Entity.aiStep,True,True,False,
animalgarden_fennecfox,1.0.2,mods/animalgarden_fennecfox-1.0.2-fabric-26.2-0.152.2.jar,aquariusplayz/animalgarden/fennecfox/mob/goals/FollowParentGoal,tick,()V,39,invokevirtual,navigation,net/minecraft/world/entity/ai/navigation/PathNavigation,moveTo,(Lnet/minecraft/world/entity/Entity;D)Z,entity,True,True,False,True,direct,every_tick,Goal.tick,False,True,False,
